	#	St	MLS #	PST	Area	Address	City	BR	FB	HB	A/D	Pool	Liv Sqft	Yr Built	Acres	Sale Ty	Price	$/Sqft	DOM	CDOM											
	39	P	842564	SF	27	8367 Apple Orchard Road	Spring Hill	3	2	0	2,0	Yes	1,697	1985	0.36	ARMS	$344,900	$203.24	193	193											
	40	P	853860	SF	27	4488 Bluewater Avenue	Spring Hill	3	2	0	2,0	Yes	1,680	1989	0.43	ARMS	$349,900	$208.27	70	70											
	41	P	854311	SF	27	13428 Mandalay Place	Spring Hill	4	3	0	3,0	No	2,653	2006	0.31	ARMS	$375,000	$141.35	5	5											
	42	P	855846	SF	27	1382 Larkin Road	Spring Hill	4	2	1	2,0	Yes	2,356	2005	0.26	ARMS	$399,000	$169.35	19	19											
	43	P	856131	SF	27	1311 Stallings Avenue	Spring Hill	3	2	0	2,0	Yes	2,052	1988	0.50	ARMS	$425,000	$207.12	5	5											
	44	C	848233	Mob	27	16321 Shady Hills Road	Spring Hill	2	1	1	0,0	No	1,312	1973	0.50	ARMS	$150,000	$114.33	1	1											
	45	C	841607	SF	27	6353 Spring Hill Drive	Spring Hill	2	1	0	0,0	No	912	1969	0.22	ARMS	$190,000	$208.33	157	157											
	46	C	849640	SF	27	2193 Timber Lodge Lane	Spring Hill	2	2	0	2,0	No	1,475	1982	0.20	ARMS	$200,000	$135.59	92	92											
	47	C	849155	SF	27	2210 Wyndam Drive	Spring Hill	2	2	0	1,0	No	1,232	1984	0.09	ARMS	$213,000	$172.89	21	21											
	48	C	846460	SF	27	2615 Saw Grass Circle	Spring Hill	2	2	0	1,0	No	1,351	1986	0.12	ARMS	$215,000	$159.14	66	66											
	49	C	852042	SF	27	2288 Evenglow Avenue	Spring Hill	3	2	0	2,0	Yes	2,564	1977	0.34	REO	$216,225	$84.33	12	12											
	50	C	851140	SF	27	11323 Highlander Court	Spring Hill	2	2	0	2,0	No	1,479	2000	0.14	ARMS	$220,000	$148.75	119	119											
	51	C	849073	SF	27	2692 Royal Ridge Drive	Spring Hill	2	2	0	2,0	No	1,468	1986	0.18	ARMS	$220,000	$149.86	130	130											
	52	C	849170	SF	27	6832 Treehaven Drive	Spring Hill	2	1	1	0,0	No	850	1970	0.21	ARMS	$224,000	$263.53	81	81											
	53	C	847839	SF	27	2230 Dove Hollow Drive	Spring Hill	2	2	0	2,0	No	1,298	1994	0.08	ARMS	$225,000	$173.34	83	83											
	54	C	849576	SF	27	6375 Ocean Pines Lane	Spring Hill	2	2	0	2,0	No	1,146	1983	0.23	ARMS	$229,000	$199.83	20	20											
	55	C	853002	SF	27	1364 Inca Avenue	Spring Hill	2	2	0	1,0	No	1,118	1980	0.23	ARMS	$230,000	$205.72	8	8											
	56	C	845020	SF	27	7392 Willow Brook Drive	Spring Hill	2	2	0	2,0	No	1,557	1997	0.10	ARMS	$230,000	$147.72	84	84											
	57	C	848615	SF	27	6410 Wedgewood Drive	Spring Hill	2	2	0	2,0	No	1,443	1986	0.16	ARMS	$232,000	$160.78	10	10											
	58	C	846612	SF	27	1377 Troy Avenue	Spring Hill	3	1	0	0,0	No	1,050	1971	0.23	ARMS	$233,000	$221.90	5	5											
	59	C	853794	SF	27	319 Dartmouth Avenue	Spring Hill	2	2	0	1,0	No	1,336	1984	0.22	ARMS	$234,000	$175.15	3	3											
	60	C	846616	SF	27	9102 Lamborn Street	Spring Hill	2	2	0	1,0	No	1,143	1985	0.27	ARMS	$235,000	$205.60	5	5											
	61	C	853055	SF	27	6208 Layton Avenue	Spring Hill	2	2	0	1,0	Yes	1,105	1983	0.23	ARMS	$240,000	$217.19	4	4											
	62	C	851323	SF	27	3096 Appleblossom Trail	Spring Hill	2	2	0	2,0	No	1,826	1993	0.10	ARMS	$240,000	$131.43	10	10											
